0,the,61847;
1,of,29391;
2,and,26817;
3,a,21626;
4,in,18214;
5,to,16284;
6,it,10875;
7,is,9982;
8,to,9343;
9,was,9236;
10,I,8875;
11,for,8412;
12,that,7308;
13,you,6954;
14,he,6810;
15,be,6644;
16,with,6575;
17,on,6475;
18,by,5096;
19,at,4790;
20,have,4735;
21,are,4707;
22,not,4626;
23,this,4623;
24,s,4599;
25,but,4577;
26,had,4452;
27,they,4332;
28,his,4285;
29,from,4134;
30,she,3801;
31,that,3792;
32,which,3719;
33,or,3707;
34,we,3578;
35,s,3490;
36,an,3430;
37,~n't,3328;
38,were,3227;
39,as,3006;
40,do,2802;
41,been,2686;
42,their,2608;
43,has,2593;
44,would,2551;
45,there,2532;
46,what,2493;
47,will,2470;
48,all,2436;
49,if,2369;
50,can,2354;
51,her,2183;
52,said,2087;
53,who,2055;
54,one,1962;
55,so,1893;
56,up,1795;
57,as,1774;
58,them,1733;
59,some,1712;
60,when,1712;
61,could,1683;
62,him,1649;
63,into,1634;
64,its,1632;
65,then,1595;
66,two,1561;
67,out,1542;
68,time,1542;
69,my,1525;
70,about,1524;
71,did,1434;
72,your,1383;
73,now,1382;
74,me,1364;
75,no,1343;
76,other,1336;
77,only,1298;
78,just,1277;
79,more,1275;
80,these,1254;
81,also,1248;
82,people,1241;
83,know,1233;
84,any,1220;
85,first,1193;
86,see,1186;
87,very,1165;
88,new,1145;
89,may,1135;
90,well,1119;
91,should,1112;
92,her,1085;
93,like,1064;
94,than,1033;
95,how,1016;
96,get,995;
97,way,958;
98,our,950;
99,made,943;
100,got,932;
101,after,927;
102,think,916;
103,between,903;
104,many,902;
105,years,902;
106,er,896;
107,those,888;
108,go,881;
109,being,862;
110,because,852;
111,down,845;
112,re,835;
113,yeah,834;
114,three,797;
115,good,795;
116,back,793;
117,make,791;
118,such,763;
119,on,756;
120,there,746;
121,through,743;
122,year,737;
123,over,735;
124,ll,726;
125,must,723;
126,still,718;
127,even,716;
128,take,715;
129,too,701;
130,more,699;
131,here,699;
132,own,695;
133,come,695;
134,last,691;
135,does,687;
136,oh,684;
137,say,679;
138,no,662;
139,going,658;
140,m,658;
141,work,653;
142,where,628;
143,erm,627;
144,us,623;
145,government,622;
146,same,615;
147,man,614;
148,might,614;
149,day,610;
150,yes,606;
151,however,605;
152,put,596;
153,world,590;
154,over,584;
155,another,581;
156,in,573;
157,want,572;
158,as,567;
159,life,566;
160,most,565;
161,against,562;
162,again,561;
163,never,559;
164,under,553;
165,old,544;
166,much,531;
167,something,526;
168,why,509;
169,each,508;
170,while,503;
171,house,501;
172,part,496;
173,number,493;
174,out of,491;
175,off,486;
176,different,484;
177,went,483;
178,really,481;
179,,479;
180,thought,473;
181,came,472;
182,used,469;
183,children,466;
184,always,462;
185,four,461;
186,where,458;
187,without,456;
188,give,451;
189,few,450;
190,within,449;
191,about,447;
192,system,447;
193,local,445;
194,place,443;
195,great,442;
196,during,440;
197,although,436;
198,small,435;
199,before,434;
200,look,433;
201,next,431;
202,when,431;
203,case,431;
204,end,429;
205,things,424;
206,social,422;
207,most,422;
208,find,420;
209,group,414;
210,quite,412;
211,mean,411;
212,five,407;
213,party,403;
214,every,401;
215,company,401;
216,women,399;
217,says,398;
218,important,392;
219,took,391;
220,much,390;
221,men,389;
222,information,386;
223,1,385;
224,per cent,382;
225,both,378;
226,national,376;
227,often,376;
228,seen,376;
229,given,375;
230,school,375;
231,fact,374;
232,money,374;
233,told,372;
234,away,371;
235,high,370;
236,point,369;
237,night,365;
238,state,364;
239,business,358;
240,British,357;
241,need,356;
242,taken,355;
243,done,354;
244,right,354;
245,d [= would],353;
246,having,353;
247,thing,352;
248,looked,352;
249,London,351;
250,area,351;
251,perhaps,350;
252,head,350;
253,water,349;
254,right,346;
255,family,345;
256,long,345;
257,2,344;
258,hand,344;
259,like,344;
260,already,343;
261,possible,342;
262,nothing,341;
263,yet,337;
264,large,337;
265,left,336;
266,side,335;
267,asked,334;
268,set,332;
269,whether,332;
270,days,331;
271,mm,330;
272,home,330;
273,called,329;
274,John,328;
275,development,324;
276,week,322;
277,such as,321;
278,use,319;
279,country,319;
280,power,318;
281,ca~,318;
282,later,317;
283,almost,316;
284,d [= had],315;
285,young,315;
286,council,313;
287,himself,311;
288,of course,310;
289,far,310;
290,both,310;
291,use,310;
292,room,309;
293,together,308;
294,tell,307;
295,little,306;
296,political,306;
297,before,305;
298,able,304;
299,become,304;
300,six,303;
301,general,301;
302,service,300;
303,eyes,297;
304,members,297;
305,since,295;
306,times,292;
307,problem,290;
308,anything,288;
309,market,287;
310,towards,286;
311,court,285;
312,public,285;
313,others,282;
314,face,282;
315,full,281;
316,doing,279;
317,war,279;
318,car,278;
319,felt,278;
320,police,278;
321,keep,276;
322,held,276;
323,problems,275;
324,road,273;
325,probably,273;
326,help,272;
327,interest,272;
328,available,272;
329,law,270;
330,best,266;
331,form,266;
332,A / a,266;
333,looking,264;
334,early,264;
335,making,264;
336,today,263;
337,mother,262;
338,saw,261;
339,knew,261;
340,education,260;
341,work,260;
342,actually,260;
343,policy,260;
344,ever,259;
345,so,258;
346,at least,257;
347,office,257;
348,am,256;
349,research,256;
350,feel,256;
351,big,255;
352,body,255;
353,door,254;
354,let,253;
355,Britain,251;
356,3,250;
357,name,250;
358,person,250;
359,services,249;
360,months,248;
361,report,248;
362,question,248;
363,using,247;
364,health,246;
365,turned,246;
366,lot,246;
367,million,245;
368,main,245;
369,though,245;
370,words,244;
371,enough,244;
372,child,244;
373,less,243;
374,book,243;
375,period,243;
376,until,242;
377,several,240;
378,sure,240;
379,father,239;
380,for example,239;
381,level,239;
382,control,238;
383,known,238;
384,society,238;
385,major,238;
386,seemed,238;
387,around,237;
388,began,237;
389,itself,237;
390,themselves,237;
391,minister,237;
392,economic,236;
393,wanted,234;
394,upon,234;
395,areas,234;
396,after,233;
397,therefore,232;
398,woman,232;
399,England,231;
400,city,231;
401,community,231;
402,only,231;
403,including,230;
404,centre,230;
405,gave,229;
406,job,229;
407,among,229;
408,position,228;
409,effect,228;
410,likely,227;
411,real,227;
412,clear,227;
413,staff,226;
414,black,225;
415,kind,225;
416,read,225;
417,provide,223;
418,particular,223;
419,became,223;
420,line,221;
421,moment,221;
422,international,221;
423,action,221;
424,special,220;
425,difficult,220;
426,certain,220;
427,particularly,220;
428,either,220;
429,open,219;
430,management,218;
431,taking,218;
432,across,217;
433,idea,217;
434,further,216;
435,whole,216;
436,age,216;
437,process,215;
438,act,215;
439,around,215;
440,evidence,215;
441,view,214;
442,better,214;
443,off,214;
444,mind,213;
445,sense,213;
446,rather,213;
447,seems,212;
448,believe,212;
449,morning,211;
450,third,211;
451,else,209;
452,half,209;
453,white,206;
454,death,205;
455,sometimes,205;
456,thus,205;
457,brought,204;
458,getting,203;
459,church,203;
460,ten,203;
461,shall,202;
462,try,202;
463,behind,202;
464,heard,202;
465,God,202;
466,table,201;
467,change,201;
468,4,201;
469,support,201;
470,back,200;
471,sort,199;
472,Mrs,198;
473,whose,198;
474,industry,198;
475,ago,198;
476,free,198;
477,care,198;
478,so that,197;
479,order,197;
480,century,197;
481,range,196;
482,European,195;
483,gone,195;
484,yesterday,195;
485,training,194;
486,working,194;
487,ask,194;
488,street,194;
489,home,194;
490,word,193;
491,groups,193;
492,history,193;
493,central,193;
494,all,193;
495,study,192;
496,usually,191;
497,remember,191;
498,trade,191;
499,hundred,191;
500,programme,190;
501,food,190;
502,committee,190;
503,air,189;
504,hours,189;
505,experience,189;
506,rate,189;
507,hands,188;
508,indeed,188;
509,sir,188;
510,language,188;
511,land,188;
512,result,187;
513,course,187;
514,someone,187;
515,everything,187;
516,certainly,186;
517,based,186;
518,team,186;
519,section,186;
520,10,186;
521,leave,185;
522,trying,185;
523,coming,185;
524,similar,184;
525,once,183;
526,minutes,183;
527,authority,183;
528,human,183;
529,changes,183;
530,little,183;
531,cases,183;
532,common,182;
533,role,182;
534,data/datum,182;
535,true,181;
536,Europe,181;
537,necessary,181;
538,nature,181;
539,class,181;
540,reason,181;
541,long,181;
542,saying,180;
543,town,180;
544,show,180;
545,subject,179;
546,voice,179;
547,companies,178;
548,since,178;
549,because of,178;
550,simply,177;
551,especially,177;
552,department,177;
553,single,177;
554,short,177;
555,personal,176;
556,as well as,176;
557,5,176;
558,pay,175;
559,value,175;
560,member,175;
561,started,175;
562,run,174;
563,patients,173;
564,paper,173;
565,private,173;
566,seven,173;
567,UK,173;
568,eight,173;
569,systems,173;
570,herself,172;
571,practice,171;
572,wife,171;
573,price,170;
574,type,170;
575,seem,170;
576,figure,170;
577,former,170;
578,rather than,169;
579,lost,169;
580,right,169;
581,need,169;
582,matter,168;
583,decision,168;
584,bank,168;
585,countries,168;
586,until,167;
587,makes,166;
588,union,166;
589,terms,165;
590,financial,165;
591,needed,165;
592,south,165;
593,university,164;
594,club,164;
595,president,164;
596,friend,164;
597,parents,163;
598,quality,163;
599,cos,163;
600,building,163;
601,north,163;
602,stage,162;
603,meeting,162;
604,wo~,161;
605,foreign,161;
606,soon,161;
607,strong,160;
608,situation,160;
609,comes,160;
610,late,159;
611,bed,159;
612,recent,158;
613,date,158;
614,low,158;
615,US,158;
616,concerned,158;
617,girl,158;
618,hard,157;
619,American,157;
620,David,157;
621,according to,157;
622,as if,157;
623,twenty,156;
624,higher,156;
625,tax,156;
626,used (to),156;
627,production,156;
628,various,155;
629,understand,155;
630,led,154;
631,bring,154;
632,schools,154;
633,ground,154;
634,conditions,154;
635,secretary,154;
636,weeks,154;
637,clearly,153;
638,bad,153;
639,art,153;
640,start,153;
641,up to,152;
642,include,152;
643,poor,151;
644,hospital,151;
645,friends,151;
646,decided,151;
647,~na,150;
648,shown,150;
649,music,150;
650,month,150;
651,English,150;
652,tried,150;
653,game,150;
654,1990,150;
655,May,150;
656,anyone,150;
657,wrong,149;
658,ways,149;
659,chapter,149;
660,followed,149;
661,cost,149;
662,play,149;
663,present,148;
664,love,148;
665,issue,148;
666,at all,148;
667,goes,148;
668,described,148;
669,more than,148;
670,award,148;
671,king,147;
672,royal,147;
673,results,147;
674,workers,147;
675,April,147;
676,expected,146;
677,amount,146;
678,students,146;
679,despite,146;
680,knowledge,146;
681,June,146;
682,moved,146;
683,news,145;
684,light,145;
685,March,145;
686,approach,145;
687,lord,145;
688,cut,145;
689,basis,145;
690,hair,144;
691,required,144;
692,further,144;
693,paid,144;
694,series,144;
695,better,143;
696,before,143;
697,field,143;
698,allowed,143;
699,easy,143;
700,kept,143;
701,questions,143;
702,natural,142;
703,live,142;
704,future,142;
705,rest,142;
706,project,141;
707,greater,141;
708,feet,141;
709,meet,141;
710,simple,140;
711,died,140;
712,for,139;
713,happened,139;
714,added,139;
715,C / c,138;
716,manager,138;
717,computer,138;
718,security,138;
719,near,138;
720,met,138;
721,evening,138;
722,means,138;
723,round,138;
724,carried,138;
725,hear,137;
726,bit,137;
727,heart,137;
728,forward,137;
729,sent,137;
730,above,137;
731,attention,137;
732,labour,137;
733,story,137;
734,structure,137;
735,move,136;
736,agreed,136;
737,nine,136;
738,&,136;
739,letter,136;
740,individual,136;
741,force,136;
742,studies,136;
743,movement,135;
744,account,135;
745,per,135;
746,call,135;
747,6,134;
748,board,134;
749,success,134;
750,1989,134;
751,French,134;
752,following,134;
753,considered,134;
754,current,133;
755,everyone,133;
756,fire,133;
757,agreement,133;
758,please,133;
759,boy,133;
760,capital,133;
761,stood,133;
762,analysis,132;
763,whatever,132;
764,population,132;
765,20,131;
766,modern,131;
767,theory,131;
768,books,131;
769,labour,131;
770,stop,131;
771,in order,131;
772,legal,131;
773,Scotland,131;
774,material,131;
775,son,131;
776,received,130;
777,model,130;
778,chance,130;
779,environment,130;
780,finally,130;
781,performance,130;
782,sea,130;
783,rights,130;
784,growth,130;
785,authorities,130;
786,provided,130;
787,nice,129;
788,whom,129;
789,produced,129;
790,relationship,129;
791,talk,129;
792,turn,129;
793,built,129;
794,final,129;
795,east,128;
796,1991,128;
797,talking,128;
798,fine,127;
799,worked,127;
800,west,127;
801,parties,127;
802,size,127;
803,record,126;
804,red,126;
805,close,126;
806,property,125;
807,myself,125;
808,gon~,125;
809,example,125;
810,space,125;
811,giving,125;
812,normal,124;
813,nor,124;
814,reached,124;
815,buy,124;
816,serious,124;
817,quickly,124;
818,Peter,124;
819,along,123;
820,plan,123;
821,behaviour,123;
822,France,123;
823,recently,123;
824,term,123;
825,previous,123;
826,couple,123;
827,included,123;
828,pounds,123;
829,anyway,122;
830,cup,122;
831,treatment,122;
832,energy,122;
833,total,122;
834,thank,122;
835,director,122;
836,12,121;
837,prime,121;
838,levels,121;
839,significant,121;
840,issues,121;
841,sat,121;
842,income,120;
843,top,120;
844,choice,120;
845,away from,120;
846,costs,120;
847,design,119;
848,pressure,119;
849,scheme,119;
850,July,119;
851,change,119;
852,a bit,119;
853,list,118;
854,suddenly,118;
855,continue,118;
856,technology,118;
857,hall,118;
858,takes,118;
859,ones,118;
860,details,117;
861,happy,117;
862,consider,117;
863,won,117;
864,defence,116;
865,following,116;
866,parts,116;
867,loss,116;
868,industrial,116;
869,activities,116;
870,throughout,116;
871,spent,116;
872,outside,116;
873,teachers,116;
874,generally,116;
875,opened,115;
876,floor,115;
877,round,115;
878,activity,115;
879,hope,115;
880,points,115;
881,association,115;
882,nearly,115;
883,United,115;
884,allow,115;
885,rates,115;
886,sun,115;
887,army,114;
888,sorry,114;
889,wall,114;
890,hotel,114;
891,forces,114;
892,contract,114;
893,dead,114;
894,30,114;
895,Paul,114;
896,stay,114;
897,reported,114;
898,as well,113;
899,hour,113;
900,difference,113;
901,meant,113;
902,summer,113;
903,county,113;
904,specific,113;
905,numbers,113;
906,wide,113;
907,appropriate,113;
908,husband,112;
909,top,112;
910,played,112;
911,relations,112;
912,figures,112;
913,chairman,112;
914,set,112;
915,lower,111;
916,product,111;
917,colour,111;
918,ideas,111;
919,George,111;
920,St,111;
921,look,110;
922,arms,110;
923,obviously,110;
924,unless,110;
925,produce,110;
926,changed,109;
927,season,109;
928,developed,109;
929,unit,109;
930,15,109;
931,appear,109;
932,investment,109;
933,Soviet,109;
934,test,109;
935,basic,109;
936,write,109;
937,village,109;
938,reasons,108;
939,military,108;
940,original,108;
941,successful,108;
942,garden,108;
943,effects,108;
944,each other,108;
945,aware,108;
946,yourself,107;
947,exactly,107;
948,help,107;
949,suppose,107;
950,showed,107;
951,style,107;
952,7,107;
953,employment,107;
954,passed,107;
955,appeared,107;
956,page,106;
957,hold,106;
958,suggested,106;
959,Germany,106;
960,continued,106;
961,October,106;
962,offered,106;
963,products,106;
964,popular,106;
965,science,106;
966,New,106;
967,window,106;
968,expect,106;
969,beyond,105;
970,resources,105;
971,rules,105;
972,professional,105;
973,announced,105;
974,economy,105;
975,picture,105;
976,okay,105;
977,needs,105;
978,doctor,105;
979,maybe,105;
980,events,105;
981,a little,104;
982,direct,104;
983,gives,104;
984,advice,104;
985,running,104;
986,circumstances,104;
987,sales,104;
988,risk,104;
989,interests,104;
990,September,104;
991,dark,104;
992,event,104;
993,thousand,104;
994,involved,103;
995,written,103;
996,park,103;
997,1988,103;
998,returned,103;
999,ensure,103;
1000,America,103;
1001,fish,103;
1002,wish,103;
1003,opportunity,103;
1004,commission,102;
1005,1992,102;
1006,oil,102;
1007,sound,102;
1008,ready,102;
1009,lines,102;
1010,shop,102;
1011,looks,102;
1012,James,102;
1013,immediately,102;
1014,worth,102;
1015,in terms of,102;
1016,college,102;
1017,press,102;
1018,January,102;
1019,fell,101;
1020,blood,101;
1021,goods,101;
1022,playing,101;
1023,carry,101;
1024,less,101;
1025,film,101;
1026,prices,101;
1027,useful,101;
1028,conference,101;
1029,operation,100;
1030,follows,100;
1031,extent,100;
1032,designed,100;
1033,application,100;
1034,station,100;
1035,television,100;
1036,access,100;
1037,Richard,100;
1038,response,100;
1039,degree,100;
1040,majority,100;
1041,effective,99;
1042,established,99;
1043,wrote,99;
1044,region,99;
1045,green,99;
1046,York,99;
1047,ah,99;
1048,western,99;
1049,traditional,99;
1050,easily,99;
1051,cold,99;
1052,shows,99;
1053,offer,99;
1054,though,99;
1055,statement,98;
1056,Scottish,98;
1057,published,98;
1058,forms,98;
1059,German,98;
1060,down,98;
1061,accept,98;
1062,miles,98;
1063,independent,98;
1064,election,98;
1065,support,97;
1066,8,97;
1067,importance,97;
1068,lady,97;
1069,site,97;
1070,jobs,97;
1071,needs,97;
1072,plans,97;
1073,earth,97;
1074,earlier,97;
1075,title,97;
1076,parliament,97;
1077,standards,96;
1078,leaving,96;
1079,interesting,96;
1080,houses,96;
1081,planning,96;
1082,considerable,96;
1083,girls,96;
1084,involved,96;
1085,Ireland,96;
1086,increase,96;
1087,species,96;
1088,stopped,96;
1089,concern,96;
1090,public,96;
1091,means,96;
1092,caused,96;
1093,raised,95;
1094,through,95;
1095,glass,95;
1096,physical,95;
1097,thought,95;
1098,Michael,95;
1099,eye,95;
1100,left,95;
1101,heavy,94;
1102,walked,94;
1103,daughter,94;
1104,existing,94;
1105,competition,94;
1106,speak,94;
1107,responsible,94;
1108,up to,94;
1109,river,94;
1110,follow,94;
1111,software,94;
1112,complete,94;
1113,above,94;
1114,November,94;
1115,December,94;
1116,purpose,93;
1117,mouth,93;
1118,medical,93;
1119,responsibility,93;
1120,Sunday,93;
1121,Wales,93;
1122,leader,93;
1123,tomorrow,93;
1124,piece,92;
1125,11,92;
1126,thirty,92;
1127,lay,92;
1128,officer,92;
1129,task,92;
1130,blue,92;
1131,on to,92;
1132,answer,92;
1133,stand,92;
1134,thinking,92;
1135,extra,92;
1136,highly,91;
1137,places,91;
1138,arm,91;
1139,eventually,91;
1140,campaign,91;
1141,ability,91;
1142,appeal,91;
1143,whole,91;
1144,Charles,91;
1145,skills,91;
1146,opposition,91;
1147,remained,91;
1148,pattern,91;
1149,method,91;
1150,miss,91;
1151,hot,91;
1152,lead,91;
1153,source,91;
1154,bought,91;
1155,baby,91;
1156,lack,90;
1157,once,90;
1158,bill,90;
1159,division,90;
1160,remain,90;
1161,surface,90;
1162,older,90;
1163,charge,90;
1164,methods,89;
1165,trouble,89;
1166,fully,89;
1167,equipment,89;
1168,moving,89;
1169,suggest,89;
1170,disease,89;
1171,officers,89;
1172,past,89;
1173,peace,89;
1174,male,89;
1175,slightly,89;
1176,demand,89;
1177,failed,89;
1178,wants,89;
1179,attempt,89;
1180,types,89;
1181,Christmas,88;
1182,hit,88;
1183,post,88;
1184,policies,88;
1185,hardly,88;
1186,ii,88;
1187,arrived,88;
1188,no longer,88;
1189,compared,88;
1190,below,88;
1191,otherwise,88;
1192,windows,88;
1193,West,88;
1194,deal,88;
1195,directly,88;
1196,interested,88;
1197,sale,88;
1198,like,88;
1199,firm,88;
1200,status,88;
1201,happen,88;
1202,box,88;
1203,even if,87;
1204,teacher,87;
1205,radio,87;
1206,provision,87;
1207,variety,87;
1208,show,87;
1209,ran,87;
